StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
8,8A,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,1,V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,-0.829736505,0.093394696,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8B,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,1,V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,1.026435963,0.17262968,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8C,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,0.87143399,0.121465443,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8D,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,0.19979943,0.042484586,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
10,10A,"Chamberlain et al., 2020",2020,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D5-10,D10-20,,8,2,R2,16,V3-V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,-0.256617098,0.113485455,,,,,6.4,0.030771659,,1.792943898,-0.066691374,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
10,10B,"Chamberlain et al., 2020",2020,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Soybean,"Soybean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D5-10,D10-20,,8,2,R2,16,V3-V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,0.441889894,0.201738777,,,,,6.5,-0.031252544,,1.619433198,0.133531393,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
10,10C,"Chamberlain et al., 2020",2020,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D5-10,D10-20,,8.5,2,R2,17,V3-V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,0.072540349,0.151631075,,,,,6,0.064538521,,1.908617698,-0.129211731,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
10,10D,"Chamberlain et al., 2020",2020,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Soybean,"Soybean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D5-10,D10-20,,8.5,2,R2,17,V3-V4,,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,3,3,0.180160447,0.306193726,,,,,6.4,-0.031748698,,1.619433198,0.133531393,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
12,12A,"Chen et al., 2020",2020,Leizhou,"20°54_53_N, 110°04_50_E",20.91472,La20-40,110.08056,Lo-0-180,145.4166718,MAP1200,23.51666641,MAT15,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D10-20,,6,2,R2,18,V3-V4,Calculate,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,5,5,0.591043195,0.042652422,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
12,12B,"Chen et al., 2020",2020,Xuwen,"20°19_45_N, 110°10_17_E",20.32917,La20-40,110.17139,Lo-0-180,146.4166718,MAP1200,23.95000076,MAT15,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D10-20,,6,2,R2,18,V3-V4,Calculate,Bacterial Beta,Bacterial Beta,NA,NA,NA,NA,5,5,1.727555248,0.066198576,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
