StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
6,NA,"Bolaji et al., 2021",2021,Manitoba,"49°29_53N, 98°01_47W",49.4981,-98.0298,42.16666794,3.050000191,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Rhizosphere,Medium,Tillage,Retention,No_Fertilizer,D1,D2,,1,2,R2,2,V4,ITS1,,Bacterial PD,Bacterial PD,100.769,9.88,93.974,3.76,3,3,-0.06981262,0.00373797,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,104.26667,20.16666603,9,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Bacterial PD,Bacterial PD,233.33325,28.46917304,217.3975,3.144846525,4,4,-0.070740214,0.003773973,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,104.26667,20.16666603,9,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Bacterial PD,Bacterial PD,222.6605,2.308380312,217.83625,1.47175414,4,4,-0.021904556,3.82817E-05,,,,,7.8,-0.040554936,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.071881776,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,104.26667,20.16666603,9,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Bacterial PD,Bacterial PD,233.33325,28.46917304,224.7075,1.679907438,4,4,-0.037668133,0.00373563,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35°87_N, 104°15_E",36.45,104.26667,20.16666603,9,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Bacterial PD,Bacterial PD,222.6605,2.308380312,227.33925,1.205442484,4,4,0.020795205,3.38989E-05,,,,,7.8,0.035268139,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.444861429,,NA,NA,,NA,NA,,NA,NA
41,41A,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,108.733333,103.83334,25.508333,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,V4,ITS1,,Bacterial PD,Bacterial PD,289.1,39.46,374.4,14.81,3,3,0.258552096,0.006731649,,,,,5.442105263,0.228929488,,0.587006961,0.083381609,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,196.65,-0.21851406,,112.58,0.728961097,,NA,NA,,NA,NA
41,41B,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18°23_N, 108°44_E",18.383333,108.733333,103.83334,25.508333,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1-3,D3,,1.5,2,R2,3,V4,ITS1,,Bacterial PD,Bacterial PD,195.12,68.33,232.84,16.26,3,3,0.176736768,0.042504354,,,,,4.526315789,0.285353783,,0.516821346,0.293557037,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,259.57,0.067659009,,144.49,0.026768413,,NA,NA,,NA,NA
59,59A,"Li et al., 2022 (b)",2022,"Xuyi District Huai’an, Jiangsu Province, China","118°23_E, 33°14_N",33.23333,118.38333,64.66666412,15.07499981,,Corydalis yanhusuo,"Corydalis yanhusuo, Peanut ",Peanut,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Papaveraceae to Fabaceae,Non-legume to Legume,nonAM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D1,,1,2,R2,1,V3-V4,NA,,Bacterial PD,Bacterial PD,544.231,16.65366851,609.615,19.98613427,3,3,0.113453821,0.00067041,,,,,8.43,-0.003565066,,0.829069767,0.058559956,,NA,NA,,0.088,0.214011068,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
68,68A,"Liu et al., 2017",2017,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in Northeast PR China,"50°15_12__N, 127°27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize, Soybean, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3,NA,,Bacterial PD,Bacterial PD,121.29,8.940846269,129.032,11.17519181,12,12,0.061876063,0.001077898,,,,,4.61,0.085202077,,NA,NA,,1.846,0.010239917,,0.137,0.239074373,,6.62,-0.113449539,,122.14,-0.063458378,,15.67,0.406953045,,122.15,0.498900524,,176.82,0.198524457,,NA,NA
68,68B,"Liu et al., 2017",2017,Heihe Branch of Heilongjiang Academy of Agricultural Sciences in Northeast PR China,"50°15_12__N, 127°27_40__E",50.25333,127.46111,45.75,0.708333373,,Soybean,"Soybean, Maize, Soybean, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3,NA,,Bacterial PD,Bacterial PD,91.6129,17.87926767,107.097,13.40953735,12,12,0.156162874,0.004480432,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
