StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
1,NA,"Ashworth et al., 2017",2017,Milan,"35.54°N, 88.44°W",35.54,La20-40,-88.44,Lo-180-0,113.6666641,MAP1200,14.84166622,MAT8-15,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Retention,Fertilizer,D5-10,D10-20,,5.5,2,R2,11,V3-V4,,Bacterial Richness,Bacterial Richness,360,54.762,358.095,51.429,4,4,-0.005305717,0.010941425,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
1,NA,"Ashworth et al., 2017",2017,Milan,"35.54°N, 88.44°W",35.54,La20-40,-88.44,Lo-180-0,113.6666641,MAP1200,14.84166622,MAT8-15,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,V3-V4,,Bacterial Richness,Bacterial Richness,364.286,24.762,402.381,35.714,4,4,0.099460128,0.003124555,,,,,6.596,-0.014046032,,NA,NA,,1.2,-0.182321557,,0.14,-0.241162057,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
1,NA,"Ashworth et al., 2017",2017,Spring Hill,"36.02°N, 85.13°W",35.54,La20-40,-88.44,Lo-180-0,113.6666641,MAP1200,14.84166622,MAT8-15,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Retention,Fertilizer,D5-10,D10-20,,5.5,2,R2,11,V3-V4,,Bacterial Richness,Bacterial Richness,339.048,55.714,350,47.143,4,4,0.031791464,0.011286299,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
1,NA,"Ashworth et al., 2017",2017,Spring Hill,"36.02°N, 85.13°W",35.54,La20-40,-88.44,Lo-180-0,113.6666641,MAP1200,14.84166622,MAT8-15,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Retention,Fertilizer,D5-10,D10-20,,6,2,R2,12,V3-V4,,Bacterial Richness,Bacterial Richness,380.476,13.81,376.19,44.286,4,4,-0.011328766,0.003794004,,,,,5.86,-0.015824204,,NA,NA,,1.4,-0.241162057,,0.2,-0.693147181,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
5,NA,"Behnke et al., 2021",2021,"Monmouth, Illinois","40°55_50_N, 90°43_38_W",40.9306,La40,-90.7272,Lo-180-0,79.16666412,MAP600-1200,10.19999981,MAT8-15,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D5-10,D10-20,,10,2,R2,20,V4,,Bacterial Richness,Bacterial Richness,1297.08,129.708,1377.79,137.779,4,4,0.060365182,0.005,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
5,NA,"Behnke et al., 2021",2021,"Monmouth, Illinois","40°55_50_N, 90°43_38_W",40.9306,La40,-90.7272,Lo-180-0,79.16666412,MAP600-1200,10.19999981,MAT8-15,,Maize,"Soybean, Maize",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D5-10,D10-20,,10,2,R2,20,V4,,Bacterial Richness,Bacterial Richness,1297.08,129.708,1384.5,138.45,4,4,0.065223479,0.005,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
6,NA,"Bolaji et al., 2021",2021,Manitoba,"49°29_53N, 98°01_47W",49.4981,La40,-98.0298,Lo-180-0,42.16666794,MAP600,3.050000191,MAT8,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Rhizosphere,Medium,Tillage,Retention,No_Fertilizer,D1,D5,,1,2,R2,2,V4,,Bacterial Richness,Bacterial Richness,1535.67,288.91,1267.46,138.07,3,3,-0.19195187,0.01575356,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8A,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,1,V4,,Bacterial Richness,Bacterial Richness,11340.33333,364.5769238,9981.666667,760.7610225,3,3,-0.127615615,0.002280797,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8B,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1,D5,,1,2,R2,1,V4,,Bacterial Richness,Bacterial Richness,12449.33333,263.4546134,12527.33333,526.5133743,3,3,0.00624585,0.000738096,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
8,8C,"Breidenbach et al., 2017",2017,International Rice Research Institute (IRRI) in the Philippines,"14°09_45_N, 121°15_35_E",14.1625,La20,121.2597,Lo-0-180,167.3333282,MAP1200,27.10000038,MAT15,,Rice,"Rice, Maize",Maize,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,V4,,Bacterial Richness,Bacterial Richness,10657.33333,648.5016063,9544.666667,1071.71327,3,3,-0.110265697,0.005436817,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
