StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
18,18A,"Dai et al., 2024",2024,Southwest University,29°49’12.97’’N 106°25’9.35’’E,29.820269,106.419264,95.33333588,18.26666641,,Tobacco,"Tobacco, Radish",Radish,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Brassicaceae,Non-legume to Non-legume,AM to nonAM,C3 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Retention,Unknow,D1,D1,,1,2,R2,1,V4-V5,NA,,Bacterial Simpson,Bacterial Simpson,0.005,0.0005,0.007,0.0007,4,4,0.336472237,0.005,,,,,5.76,0.025708357,,1.621229698,-0.144064566,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,60.58,-0.072027704,,50.5,0.076227365,,148.05,-0.124415927,,NA,NA
18,18B,"Dai et al., 2024",2024,Southwest University,29°49’12.97’’N 106°25’9.35’’E,29.820269,106.419264,95.33333588,18.26666641,,Tobacco,"Tobacco, Radish",Radish,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Brassicaceae,Non-legume to Non-legume,AM to nonAM,C3 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Retention,Unknow,D1-3,D2,,2,2,R2,2,V4-V5,NA,,Bacterial Simpson,Bacterial Simpson,0.005,0.0005,0.003,0.0003,4,4,-0.510825624,0.005,,,,,5.76,0.071997612,,1.621229698,-0.173416778,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,60.58,0.040438956,,50.5,0.080804032,,148.05,-0.137892701,,NA,NA
18,18C,"Dai et al., 2024",2024,Southwest University,29°49’12.97’’N 106°25’9.35’’E,29.820269,106.419264,95.33333588,18.26666641,,Tobacco,"Tobacco, Radish",Radish,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Solanaceae to Brassicaceae,Non-legume to Non-legume,AM to nonAM,C3 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Retention,Unknow,D1-3,D3,,3,2,R2,3,V4-V5,NA,,Bacterial Simpson,Bacterial Simpson,0.005,0.0005,0.004,0.0004,4,4,-0.223143551,0.005,,,,,5.76,0.099090903,,1.621229698,-0.184112068,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,60.58,0.090074251,,50.5,0.205161049,,148.05,-0.225764342,,NA,NA
34,34A,"Guo et al., 2024",2024,"Harbin, China","45°44_27.7_N, 126°49_25.27_E",45.741028,126.823686,43.83333206,4.141666412,,Sugar beet,"Sugar beet, Rubber dandelion",Rubber dandelion,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Amaranthaceae to Asteraceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Perennial,Inconsistent,Harvest,Non-Rhizosphere,Medium,Unknow,No_retention,Unknow,D1-3,D3,,1.5,2,R2,3,V3-V4,NA,,Bacterial Simpson,Bacterial Simpson,0.017,0.0032,0.011,0.0021,3,3,-0.435318071,0.023959602,,,,,8.01762,0.010929599,,1.553819767,0.203075766,,NA,NA,,0.144281,0.162634669,,NA,NA,,NA,NA,,211.283,-0.093216606,,169.163,0.415829175,,93.8009,0.092311046,,NA,NA
36,36A,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,86.078931,12.75,8.891666412,,Cotton,"Cotton, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Malvaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,Full length,Full length,,Bacterial Simpson,Bacterial Simpson,0.995384,0.000112,0.995383,0.00037,4,4,-1.00E-06,3.77E-08,,,,,7.84888,-0.008697549,,2.00303,0.017150872,,NA,NA,,0.187778,-0.317713104,,NA,NA,,NA,NA,,229.515,0.259186981,,175.319,-0.347697514,,253.677,-0.15393652,,NA,NA
36,36B,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,86.078931,12.75,8.891666412,,Cotton,"Maize, Cotton",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Malvaceae to Poaceae,Non-legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,Full length,Full length,,Bacterial Simpson,Bacterial Simpson,0.995384,0.000112,0.9956,0.00025,4,4,0.000216978,1.89E-08,,,,,7.84888,0.001970314,,2.00303,-0.127593083,,NA,NA,,0.187778,-0.112618737,,NA,NA,,NA,NA,,229.515,0.061330977,,175.319,-0.183295114,,253.677,0,,NA,NA
36,36C,"Han et al., 2024",2024,"Shihezi City, Xinjiang, China","44°18_23.51__N, 86°4_44.15""E",44.306531,86.078931,12.75,8.891666412,,Cotton,"Cotton, Tomato",Tomato,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Malvaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Unknow,Non-Rhizosphere,Unknow,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,Full length,Full length,,Bacterial Simpson,Bacterial Simpson,0.995384,0.000112,0.99633,0.000222,4,4,0.000949936,1.56E-08,,,,,7.84888,0.014500267,,2.00303,-0.045444843,,NA,NA,,0.187778,-0.514781362,,NA,NA,,NA,NA,,229.515,0.160043262,,175.319,-0.157392887,,253.677,-0.438955279,,NA,NA
53,53A,"Li et al., 2021",2021,"Wuchuan County, Hohhot, Inner Mongolia Autonomous Region, China","111°47_E, 41°6_N",41.1,111.78333,24.66666603,2.650000095,,Astragalus membranaceus var. mongholicus (Hsiao),"Hsiao, Oat, Hsiao, Oat, Hsiao",Oat,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3-V4,NA,,Bacterial Simpson,Bacterial Simpson,0.0086,0.0011,0.0061,0.0005,4,4,-0.343473432,0.005769705,,,,,8.99,0.012161565,,0.884302326,0.297495694,,1.558,0.247241103,,0.101,0.197063839,,NA,NA,,NA,NA,,1.73,1.088931671,,17.59,0.755943138,,63,0.105360516,,NA,NA
53,53B,"Li et al., 2021",2021,"Wuchuan County, Hohhot, Inner Mongolia Autonomous Region, China","111°47_E, 41°6_N",41.1,111.78333,24.66666603,2.650000095,,Astragalus membranaceus var. mongholicus (Hsiao),"Hsiao, Potato, Hsiao, Potato, Hsiao",Potato,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Fabaceae to Solanaceae,Legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3-V4,NA,,Bacterial Simpson,Bacterial Simpson,0.0086,0.0011,0.0071,0.0003,4,4,-0.191667419,0.004536389,,,,,8.99,-0.005577259,,0.884302326,-0.163176608,,1.558,-0.2821348,,0.101,-0.160773221,,NA,NA,,NA,NA,,1.73,0.778953593,,17.59,-0.210573652,,63,-0.16028054,,NA,NA
53,53C,"Li et al., 2021",2021,"Wuchuan County, Hohhot, Inner Mongolia Autonomous Region, China","111°47_E, 41°6_N",41.1,111.78333,24.66666603,2.650000095,,Astragalus membranaceus var. mongholicus (Hsiao),"Hsiao, Rape, Hsiao, Rape, Hsiao",Rapeseed,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Fabaceae to Brassicaceae,Legume to Non-legume,AM to nonAM,C3 to C3,Perennial to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Tillage,Unknow,Unknow,D1-3,D4,,2,2,R2,4,V3-V4,NA,,Bacterial Simpson,Bacterial Simpson,0.0086,0.0011,0.0069,0.001,4,4,-0.220240792,0.009341046,,,,,8.99,0.009961344,,0.884302326,-0.051258692,,1.558,0.068222356,,0.101,-0.050772325,,NA,NA,,NA,NA,,1.73,0.280430409,,17.59,0.484676579,,63,0.071508224,,NA,NA
