StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
11,11A,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,0.502811993,0.129549426,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
11,11B,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Soybean,"Soybean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,1.385104608,0.063991911,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
11,11C,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,1.155750353,0.050998897,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
11,11D,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Soybean,"Soybean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,0.124086491,0.050861329,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
11,11E,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Maize,"Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,1.048596802,0.096414257,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
11,11F,"Chamberlain et al., 2021",2021,Arlington Agricultural Research Station in Wisconsin,"43°18_N, 89°21_W",43.3,La40,-89.35,Lo-180-0,70.41666412,MAP600-1200,7.383333683,MAT8,,Soybean,"Soybean, Maize",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,1.5,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,NA,NA,-0.311149424,0.082004613,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13B,"Chen et al., 2022 (a)",2022,Leizhou,"20°54_53_N, 110°04_50_E",20.91472,La20-40,110.08056,Lo-0-180,145.4166718,MAP1200,23.51666641,MAT15,,Pineapple,"Pineapple, Banana",Banana,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Musaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D10-20,,6,2,R2,18,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,10,10,0.752640861,0.016202752,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13C,"Chen et al., 2022 (a)",2022,Xuwen,"20°19_45_N, 110°10_17_E",20.32917,La20-40,110.17139,Lo-0-180,146.4166718,MAP1200,23.95000076,MAT15,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D1-3,D5,,1.287553648,2,R2,3,NA,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,10,10,-0.060412718,0.012540323,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15A,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,9,9,0.66943101,0.015198265,,,,,NA,NA,,1.193,-0.013502315,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15B,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Unknow,Retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,V3-V4,ITS1,,Fungal Beta,Fungal Beta,NA,NA,NA,NA,9,9,0.004349786,0.018715435,,,,,NA,NA,,1.309,-0.063876657,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
