StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Longitude,MAPmean,MATmean,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,BacterialPrimer,FungalPrimer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
6,NA,"Bolaji et al., 2021",2021,Manitoba,"49¡29_53N, 98¡01_47W",49.4981,-98.0298,42.16666794,3.050000191,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Rhizosphere,Medium,Tillage,Retention,No_Fertilizer,D1,D2,,1,2,R2,2,V4,ITS1,,Fungal PD,Fungal PD,198.318,30.441,170.965,14.37,3,3,-0.148412946,0.010208593,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13A,"Chen et al., 2022 (a)",2022,Xuwen,"20¡19_45_N, 110¡10_17_E",20.32917,110.17139,146.4166718,23.95000076,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D11-20,,6,2,R2,18,NA,ITS1,,Fungal PD,Fungal PD,343.0894,109.6735465,595.935,246.7644678,10,10,0.552140546,0.027364731,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13B,"Chen et al., 2022 (a)",2022,Leizhou,"20¡54_53_N, 110¡04_50_E",20.91472,110.08056,145.4166718,23.51666641,,Pineapple,"Pineapple, Banana",Banana,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Musaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D11-20,,6,2,R2,18,NA,ITS1,,Fungal PD,Fungal PD,473.9836,115.1564819,759.3494,383.8553892,10,10,0.471289292,0.031456285,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13C,"Chen et al., 2022 (a)",2022,Xuwen,"20¡19_45_N, 110¡10_17_E",20.32917,110.17139,146.4166718,23.95000076,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D1-3,D3,,1.287553648,2,R2,3,NA,ITS1,,Fungal PD,Fungal PD,492.683,98.70632672,487.8046,93.22204236,10,10,-0.009951049,0.007665915,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13D,"Chen et al., 2022 (a)",2022,Leizhou,"20¡54_53_N, 110¡04_50_E",20.91472,110.08056,145.4166718,23.51666641,,Pineapple,"Pineapple, Banana",Banana,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Musaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D1-3,D3,,1.287553648,2,R2,3,NA,ITS1,,Fungal PD,Fungal PD,544.7154,126.1243761,518.6992,150.8006205,10,10,-0.048939317,0.013813464,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35¡87_N, 104¡15_E",36.45,104.26667,20.16666603,9,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Fungal PD,Fungal PD,113.3335,2.631830098,113.472,6.175845691,4,4,0.001221311,0.000875367,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35¡87_N, 104¡15_E",36.45,104.26667,20.16666603,9,,Maize,"Winter wheat, Maize",Wheat,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Poaceae to Poaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Fungal PD,Fungal PD,106.666475,9.746199361,104.814975,7.921844057,4,4,-0.017510257,0.003515213,,,,,7.8,-0.040554936,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.071881776,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35¡87_N, 104¡15_E",36.45,104.26667,20.16666603,9,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Non-Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Fungal PD,Fungal PD,113.3335,2.631830098,108.889,4.26845171,4,4,-0.040005785,0.000518976,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
19,,"Dang et al., 2024",2024,Yuzhong County,"35¡87_N, 104¡15_E",36.45,104.26667,20.16666603,9,,Maize,"Potato, Maize",Potato,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Reproductive stage,Rhizosphere,Medium,Unknow,No_retention,Fertilizer,D1,D4,,1,2,R2,4,V3-V4,ITS1,,Fungal PD,Fungal PD,106.666475,9.746199361,102.2222,1.756842023,4,4,-0.042558035,0.002160999,,,,,7.8,0.035268139,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,11.39,-0.444861429,,NA,NA,,NA,NA,,NA,NA
41,41C,"Hong et al., 2020",2020,"Ledong County, Hainan Province, China","18¡23_N, 108¡44_E",18.383333,108.733333,103.83334,25.508333,,Banana,"Chilli pepper, Banana",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Inconsistent,Harvest,Non-Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,D1,D2,,1,2,R2,2,V4,ITS1,,Fungal PD,Fungal PD,407.38,44.29,427.56,19.99,3,3,0.048348219,0.004668585,,,,,5.442105263,0.228929488,,0.587006961,0.083381609,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,196.65,-0.21851406,,112.58,0.728961097,,NA,NA,,NA,NA
