StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Peas, Wheat, Wheat",Pea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,128.440367,11.12326207,3,3,-0.041964199,0.004188872,,,,,6.38,-0.061408628,,1.77,-0.067178538,,1.815,-0.086260344,,0.000284,0.25638761,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Chickpeas, Wheat, Wheat",Chickpea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,133.0275229,6.356149753,3,3,-0.006872879,0.002449871,,,,,6.38,-0.00313972,,1.77,-0.059354243,,1.815,-0.071356939,,0.000284,0.223143551,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Peas, Wheat, Peas",Pea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,2,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,110.0917431,10.32874335,3,3,-0.196114879,0.0046229,,,,,6.38,-0.046520016,,1.77,-0.073239162,,1.815,-0.047964059,,0.000284,0.49735502,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Peas, Peas, Peas",Pea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,93.11926606,10.32874335,3,3,-0.363547823,0.005789918,,,,,6.38,-0.038343355,,1.77,-0.00851069,,1.815,0.012592556,,0.000284,0.847800752,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Lentils, Wheat, Lentils",Lentils,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,2,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,94.03669725,11.91778079,3,3,-0.353743823,0.007042828,,,,,6.38,-0.028618805,,1.77,-0.056361125,,1.815,-0.057839248,,0.000284,0.440070637,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Lentils, Lentils, Lentils",Lentils,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,96.33027523,9.534224629,3,3,-0.329646272,0.004954178,,,,,6.38,-0.068097616,,1.77,-0.062356346,,1.815,-0.027934777,,0.000284,0.490910314,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Chickpea, Wheat, Chickpea",Chickpea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1-3,D5,,2,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,111.4678899,15.89037438,3,3,-0.183692359,0.008462907,,,,,6.38,-0.061408628,,1.77,0.007317792,,1.815,0,,0.000284,0.563631858,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
2,NA,"Bainard et al., 2017",2017,"Swift Current, Saskatchewan"," 50°17_N, 107°41_W",50.2833,La40,-107.6833,Lo-180-0,32.5,MAP600,3.516666651,MAT8,,Wheat,"Wheat, Chickpea, Chickpea, Chickpea",Chickpea,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,D1,D5,,1,2,R2,4,ITS1,,Fungal Richness,Fungal Richness,133.9449541,9.534224629,97.24770642,8.73970591,3,3,-0.320167528,0.004381111,,,,,6.38,-0.054764085,,1.77,-0.032733327,,1.815,-0.023412441,,0.000284,0.23434815,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
6,NA,"Bolaji et al., 2021",2021,Manitoba,"49°29_53N, 98°01_47W",49.4981,La40,-98.0298,Lo-180-0,42.16666794,MAP600,3.050000191,MAT8,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Rhizosphere,Medium,Tillage,Retention,No_Fertilizer,D1,D5,,1,2,R2,2,ITS1,,Fungal Richness,Fungal Richness,2392.14,400.99,2361.69,174.47,3,3,-0.012810898,0.011185574,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
15,15A,"Chen et al., 2022 (c)",2022,Nong’an County,"44°05_N, 124°51_E",44.0833,La40,124.85,Lo-0-180,44.66666794,MAP600,5.133333206,MAT8,,Maize,"Maize, Peanut",Peanut,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Unknow,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Richness,Fungal Richness,313.21,60.77,364.67,67.64,9,9,0.152118943,0.008005428,,,,,NA,NA,,1.193,-0.013502315,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
