StudyID,Beta ID,Publication,Pubyear,Experimental site,Experimental coordinate,Latitude,Latitude_Subgroup,Longitude,Longitude_Subgroup,MAPmean,MAPmean_Subgroup,MATmean,MATmean_Subgroup,,Pre-crop types,Sub-crop types,Sub-crop types,,Pre-Class,Sub-Class,Class,,Family,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,PlantConsistent,PlantStageSubgroup,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,RotationcyclesSubgroup,DurationSubgroup,,Rotation_cycles,Species_Richness,SpeciesRichnessSubgroup,Duration,Primer,,Variable,Methods,Xc,Sc,Xe,Se,Nc,Ne,RR,Vi,,,,,pHCK,RRpH,,SOCCK,RRSOC,,TCCK,RRTOC,,TNCK,RRTN,,NO3CK,RRNO3,,NH4CK,RRNH4,,APCK,RRAP,,AKCK,RRAK,,ANCK,RRAN,,YieldCK,RRYield
6,NA,"Bolaji et al., 2021",2021,Manitoba,"49°29_53N, 98°01_47W",49.4981,La40,-98.0298,Lo-180-0,42.16666794,MAP600,3.050000191,MAT8,,Soybean,"Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Consistent,Unknow,Rhizosphere,Medium,Tillage,Retention,No_Fertilizer,D1,D5,,1,2,R2,2,ITS1,,Fungal Shannon,Fungal Shannon,6.55,0.34,6.6,0.21,3,3,0.007604599,0.001235626,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13A,"Chen et al., 2022 (a)",2022,Xuwen,"20°19_45_N, 110°10_17_E",20.32917,La20-40,110.17139,Lo-0-180,146.4166718,MAP1200,23.95000076,MAT15,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D10-20,,6,2,R2,18,ITS1,,Fungal Shannon,Fungal Shannon,3.73343017,0.61044818,6.69000586,0.97175746,10,10,0.583287322,0.004783413,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13B,"Chen et al., 2022 (a)",2022,Leizhou,"20°54_53_N, 110°04_50_E",20.91472,La20-40,110.08056,Lo-0-180,145.4166718,MAP1200,23.51666641,MAT15,,Pineapple,"Pineapple, Banana",Banana,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Musaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D5-10,D10-20,,6,2,R2,18,ITS1,,Fungal Shannon,Fungal Shannon,5.920439515,0.48864973,7.492829186,0.797861916,10,10,0.235535766,0.001815091,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13C,"Chen et al., 2022 (a)",2022,Xuwen,"20°19_45_N, 110°10_17_E",20.32917,La20-40,110.17139,Lo-0-180,146.4166718,MAP1200,23.95000076,MAT15,,Pineapple,"Pineapple, Sugarcane",Sugarcane,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Poaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D1-3,D5,,1.287553648,2,R2,3,ITS1,,Fungal Shannon,Fungal Shannon,5.959986866,0.768831363,7.268499136,0.496520413,10,10,0.198481547,0.002130713,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
13,13D,"Chen et al., 2022 (a)",2022,Leizhou,"20°54_53_N, 110°04_50_E",20.91472,La20-40,110.08056,Lo-0-180,145.4166718,MAP1200,23.51666641,MAT15,,Pineapple,"Pineapple, Banana",Banana,,Liliopsida,Liliopsida,Liliopsida to Liliopsida,,Bromeliaceae to Musaceae,Non-legume to Non-legume,nonAM to AM,NA,Perennial to Perennial,Consistent,Unknow,Rhizosphere,Fine,Unknow,Unknow,Unknow,D1-3,D5,,1.287553648,2,R2,3,ITS1,,Fungal Shannon,Fungal Shannon,7.369697478,0.618424144,7.331229821,0.357680364,10,10,-0.005233377,0.000942196,,,,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
16,16A,"Cui et al., 2024 (a)",2024,Urumqi,"87°28’E, 43°56’N",43.9333,La40,87.4667,Lo-0-180,15.58333302,MAP600,7.941666603,MAT8,,Cotton,"Cotton, Peanut",Peanut,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Malvaceae to Fabaceae,Non-legume to Legume,AM to AM,C3 to C3,Annual to Annual,Inconsistent,Harvest,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Shannon,Fungal Shannon,4.5,0.16176,4.83824,0.15441,10,10,0.072473621,0.00023107,,,,,NA,NA,,0.198723898,-0.078292926,,NA,NA,,0.144,-0.269332934,,NA,NA,,NA,NA,,6.59,0.327107037,,170.51,0.134000463,,NA,NA,,359.04,0.259613845
16,16B,"Cui et al., 2024 (a)",2024,Urumqi,"87°28’E, 43°56’N",43.9333,La40,87.4667,Lo-0-180,15.58333302,MAP600,7.941666603,MAT8,,Peanut,"Cotton, Peanut",Cotton,,Magnoliopsida,Magnoliopsida,Magnoliopsida to Magnoliopsida,,Fabaceae to Malvaceae,Legume to Non-legume,AM to AM,C3 to C3,Annual to Annual,Consistent,Harvest,Rhizosphere,Unknow,Unknow,No_retention,Fertilizer,D1-3,D5-10,,3,2,R2,6,ITS1,,Fungal Shannon,Fungal Shannon,5.44853,0.09559,4.83824,0.15441,10,10,-0.118794829,0.000132633,,,,,NA,NA,,0.119141531,0.433311362,,NA,NA,,0.135,-0.204794413,,NA,NA,,NA,NA,,9.3,-0.017354015,,233.88,-0.182013754,,NA,NA,,379.59,0.167195928
17,17A,"Cui et al., 2024 (b)",2024,Gongzhuling,"43°30’23’’N, 124°48’33’’E",43.5064,La40,124.8092,Lo-0-180,51.66666794,MAP600-1200,5.241666794,MAT8,,Soybean,"Maize, Maize, Soybean",Maize,,Magnoliopsida,Liliopsida,Magnoliopsida to Liliopsida,,Fabaceae to Poaceae,Legume to Non-legume,AM to AM,C3 to C4,Annual to Annual,Inconsistent,Harvest,Non-Rhizosphere,Fine,Tillage,No_retention,Fertilizer,D5-10,D20-30,,10,2,R2,30,ITS1,,Fungal Shannon,Fungal Shannon,0.579823,0.073574054,0.511858,0.069895178,3,3,-0.124675642,0.011582543,,,,,7.61,0,,1.854408353,0.064206123,,0.166,0.080969063,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
17,17B,"Cui et al., 2024 (b)",2024,Gongzhuling,"43°30’23’’N, 124°48’33’’E",43.5064,La40,124.8092,Lo-0-180,51.66666794,MAP600-1200,5.241666794,MAT8,,Maize,"Maize, Maize, Soybean",Soybean,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Poaceae to Fabaceae,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Tillage,No_retention,Fertilizer,D5-10,D20-30,,10,2,R2,30,ITS1,,Fungal Shannon,Fungal Shannon,0.550088,0.033109883,0.511858,0.069895178,3,3,-0.072031023,0.007423091,,,,,7.81,-0.025941792,,2.136890951,-0.077580125,,0.187,-0.038151766,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA
24,24A,"Fan et al., 2020",2020,Cheng Mai county,"20°05_N, 110°10_E",20.08333,La20-40,110.16667,Lo-0-180,146.41667,MAP1200,23.8,MAT15,,Banana,"Banana, Pepper",Chilli pepper,,Liliopsida,Magnoliopsida,Liliopsida to Magnoliopsida,,Musaceae to Solanaceae,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Consistent,Harvest,Non-Rhizosphere,Fine,Unknow,Unknow,Fertilizer,D1-3,D5,,2,2,R2,2,ITS1 + 5.8S + ITS2,,Fungal Shannon,Fungal Shannon,4.73,0.14,5.09,0.22,6,6,0.073352628,0.000457367,,,,,5.82,0.133316593,,1.548723898,0.123178359,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,55.37,-0.074399758,,143.03,0.032128791,,110.71,-0.025987371,,36.35,0.296992107
