StudyID,Latitude,Longitude,Type
1,35.54,-88.44,Type2
2,50.2833,-107.6833,Type2
5,40.9306,-90.7272,Type2
6,49.4981,-98.0298,Type2
8,14.1625,121.2597,Type2
10,43.3,-89.35,Type2
11,43.3,-89.35,Type2
12a,20.91472,110.08056,Type2
12b,20.32917,110.17139,Type2
13a,20.91472,110.08056,Type2
13b,20.32917,110.17139,Type2
14,33.60183,117.14047,Type2
15,44.0833,124.85,Type2
16,43.9333,87.4667,Type2
17,43.5064,124.8092,Type2
18,29.820269,106.419264,Type2
19,36.45,104.26667,Type2
22,10.56667,106,Type3
23,45.667353,-111.054622,Type4
24,20.08333,110.16667,Type2
30,45.387111,-75.721,Type3
32,51.965222,20.157611,Type5
33,34.433333,103.866667,Type4
34,45.741028,126.823686,Type2
35,50.266667,-107.766667,Type2
36,44.306531,86.078931,Type2
37,42.3,122.56667,Type2
38,44.55,123.51667,Type2
39,33.033333,116.383333,Type2
41,18.383333,108.733333,Type2
42,18.383333,108.733333,Type2
43,28.180967,113.084828,Type2
44,44.066667,-93.55,Type2
45,24.5,103.53333,Type2
46,24.233333,102.5,Type2
47,40.733333,116.616667,Type2
48,28.55,102.16667,Type2
50,35.831667,128.758611,Type3
51,35.2,107.66667,Type3
52,46.2,125.75,Type3
53,41.1,111.78333,Type2
54,35.66806,118.7125,Type4
55,41.15,114.7,Type2
57,46,126.63333,Type2
58,28.216667,116.916667,Type3
59,33.23333,118.38333,Type2
60,45.41667,130,Type2
61,41.083333,111.2,Type3
62,44.316667,86.05,Type2
63,47.45,126.68333,Type2
64,47.43333,126.63333,Type3
65,47.43333,126.63333,Type3
66,50.25333,127.46111,Type2
67,50.25333,127.46111,Type2
68,50.25333,127.46111,Type2
69,36.59083,117.38167,Type2
70,24.3,102.63333,Type2
71,35.2,107.73333,Type3
72,46.2,125.75,Type3
75,50.25333,127.46111,Type2
77,21.8475,94.838611,Type2
79,30.07024,103.0901,Type2
80,24.68472,103.25139,Type2
82,-30.540169,-58.246567,Type2
83,45.51667,126.38333,Type2
84,41.16738,-96.418667,Type2
85,40.91667,-90.71667,Type2
86,28.51583,109.45139,Type2
87,28.5176385,109.4522225,Type2
88,41.465917,15.5055,Type2
89,47.433333,126.633333,Type3
90,42.4333,-85.3889,Type3
91,41.416667,114.9325,Type3
95,45.387111,-75.721,Type3
96,40.08028,-88.24417,Type2
97,40.1106,-88.2283,Type3
98,49,124.933333,Type2
99,49,126.33333,Type2
100,36.813056,120.504722,Type2
101,25.055125,102.696889,Type2
103,36.933333,105.25,Type2
104,38.7,117.35,Type2
105a,52.45,-113.75,Type3
105b,50.15,-106.58,Type3
105c,50.28,-107.76,Type3
106a,50.283333,-107.8,Type3
106b,42.216667,-82.733333,Type3
107,53.596944,19.855556,Type6
108,23.35,104.21667,Type4
109,48.8,118.36667,Type2
110,27.71667,107.65,Type2
111,27.62345,118.00265,Type2
112,44.2,125.55,Type2
113,38.06667,113.48333,Type3
114,41.23333,111.5,Type2
116,35.2,107.66667,Type3
117,38.96667,115.45,Type2
118,26.683333,113.283333,Type2
119,43.44,128.35917,Type2
120,49.91667,120.8,Type3
121,28.76667,109.21667,Type2
122,52,-106,Type2
123,30.7682,110.6371,Type2
125,47.25,123.68333,Type3
126,23.25,104.58333,Type2
127,39.35,100.183333,Type2
128,30.98,103.93,Type2
129,29.055278,119.006667,Type2
130,18.633333,108.75,Type2
131,26.683333,113.283333,Type3
132,26.616667,113.333333,Type2
133,44.512833,125.447167,Type2
134,44.5,126.35,Type3
135,23.7,104.26667,Type2
136,26.659,119.583,Type3
137,36.783333,115.166667,Type3
140,28.216667,116.916667,Type4
142,42.174,122.887,Type2
A29,28.46667,120.26667,Type2
A58,24.23333,102.5,Type2
B1,35.55,104.58333,Type2
B23,25.23,100.3,Type2
B39,-33.27306,-54.17333,Type2
D21,35.25,106.15,Type3
D30,24.14,102.3,Type2
D12,18.2528,109.5116,Type2
D13,32.4552,120.8697,Type2
D14,26.79028,113.19444,Type2
D15,19.45,109.16667,Type2
D16,27.11667,106.18333,Type2
D17,50.23333,120.13333,Type2
D18,35.18327,104.57714,Type2
D19a,30.8333,120.9111,Type2
D19b,28.83823,121.20199,Type2
R1,51.6,9.85,Type4
R2,30.6167,114.6167,Type2
R3,30.6167,114.6167,Type2
R4,39.35,100.1833,Type3
R5,39.35,100.1833,Type2
R6,48.55,125.0167,Type2
R7,45.0003,129.9883,Type2
R8,38.8919,102.4153,Type3
R9,23.1287,104.7002,Type2
R10,36.8053,102.3883,Type2
R11,41.5917,115.45,Type2
R12,35.5295,105.1086,Type2
R13,24.94,98.87,Type2
R14,43.6,128.375,Type2
R15,39.8917,113.5667,Type2
R16,30.4872,114.3117,Type2
R17,35.5431,104.7583,Type2
R18,42.0522,125.7586,Type2
R19,26.6553,113.055,Type2
R20,31.2278,118.5194,Type2
